city,district,cold_price,object_age,flat_area,room_count,distance_to_centre
Hamburg,Wellingsbüttel,1550,56,112,3,0.979730542
Hamburg,Langenbek,700,119,61,3,0.63796417
Norderstedt,Garstedt,630,45,59.95,2,0.637003159
Norderstedt,Garstedt,640,31,66.89,2.5,0.401186883
Norderstedt,Harksheide,1645,27,160,5,8.031577205
Pinneberg,Pinneberg-Nord,1450,64,133,5,0.948285735
Hamburg,Sasel,1549,19,116,3.5,0.771644134
Seevetal,Maschen,869,50,79,3,1.094829156
Hamburg,Sasel,1600,19,80,2,1.53906741
Glinde,Glinde,830,40,69,2,29.61417491
Buxtehude,Buxtehude,450,30,45.67,1,4.997201933
Buxtehude,Buxtehude,290,60,31,1,4.123289449
Hamburg,Bergedorf,2390,38,210,7,4.039190216
Rosengarten,Nenndorf,70,0,107,3,0.452791107
Buxtehude,Buxtehude,840,,67,2.5,0.51805754
Hamburg,Bergedorf,1135,96,87.8,2,1.646110979
Wentorf bei Hamburg,Wentorf bei Hamburg,2400,42,159,4,0.414732417
Hamburg,Wohldorf-Ohlstedt,750,30,64,2,0.972492276
Buxtehude,Hedendorf,600,58,66,2.5,4.627196722
Buxtehude,Hedendorf,378,50,43,2,2.393025132
Moisburg,Moisburg,590,70,73.84,2,4.092048497
Buchholz in der Nordheide,Buchholz,875.82,45,79.62,2,0.370480469
Stade,Ottenbeck,690,,86,4,0.875271389
Guderhandviertel,Guderhandviertel,910,1,70.33,2,1.550664703
Hollern-Twielenfleth,Hollern-Twielenfleth,1110,1,94.85,4,3.337892853
Winsen (Luhe),Winsen,950,49,105,4,5.715636793
Winsen (Luhe),Winsen,1100,49,123,5,8.418462804
Jesteburg,Jesteburg,1600,5,90.99,2,6.216952694
Jesteburg,Jesteburg,1600,5,90.99,2,0.130132728
Jesteburg,Jesteburg,1350,5,113,4,0.130132728
Jesteburg,Jesteburg,1350,5,113,4,5.849707539
Norderstedt,Norderstedt,950,51,90,3,2.938769208
Stade,Ottenbeck,740,50,114.33,3,1.315393519
Winsen (Luhe),Winsen,940,22,79.7,3,0.64221058
Elmshorn,Elmshorn,990,28,110.09,3,2.49236855
Klein Nordende,Klein Nordende,580,70,60.55,2,2.958746387
Elmshorn,Elmshorn,795,34,83.71,3,2.319501814
Elmshorn,Elmshorn,635,58,60.14,2,0.130297848
Elmshorn,Elmshorn,635,58,60.14,2,0.130297848
Raa-Besenbek,Raa-Besenbek,545,,57.65,2.5,3.78586886
Stade,Stade,840,0,55.77,2.5,6.536456269
Stade,Stade,450,21,49.63,2,0.579333156
Stade,Stade,490,28,50,2,6.508683953
Harsefeld,Harsefeld,565,30,65,2,0.63447785
Stade,Stade,360,6,31.6,1,5.055378596
Geesthacht,Besenhorst,695,39,70,3,1.115366426
Stade,Stade,495,18,53.22,2,5.848464771
Stade,Stade,790,,71,3,3.570309167
Stade,Stade,565,53,76.86,3,4.826050025
Stade,Stade,615,53,76.86,3,5.988239943
Stade,Stade,595,22,55,2,5.664489141
Harsefeld,Harsefeld,1100,4,102.32,3,6.872029741
Hanstedt,Hanstedt,770,33,71.48,3,119.8530307
Stade,Stade,475,52,49,1,4.609381771
Kaltenkirchen,Kaltenkirchen,765,50,85,3,0.103457535
Stade,Stade,650,26,71.79,3,2.051438012
Tostedt,Tostedt,700,2,60.34,2,1.533968179
Stade,Wiepenkathen,576.72,,67.85,3,0.575285978
Stade,Wiepenkathen,645,51,75.73,3.5,6.162042745
Kiebitzreihe,Kiebitzreihe,652,113,87,3,1.106776277
Drochtersen,Drochtersen,895,0,83.63,4,1.930943607
Bad Bramstedt,Bad Bramstedt,310,52,32.58,1,3.808395934
Himmelpforten,Himmelpforten,630,49,88,3,6.326042942
Drochtersen,Dornbusch,625,63,77.78,3,4.864466982
Lüneburg,Lüne-Moorfeld,600,59,60.03,3,4.623838265
Schneverdingen,Schneverdingen,420,,56,2,3.702984526
Itzehoe,Itzehoe,315,123,33,1.5,2.08577747
Mölln,Waldstadt,928,84,102,4,0.844668658
Schmilau,Schmilau,1082,,120.3,4.5,1.541536404
Hamburg / Altona-Altstadt,Altona-Altstadt,5750,11,160,4,7.604741808
