city,district,latitude,longitude,geohash,cold_price,currency,object_age,flat_area,room_count,distance_to_centre
Hamburg,Blankenese,53.540039,9.77781,u1wbw6xvr6xs,3474.25,EUR,123,199,7,2.559769769
Hamburg,Blankenese,53.617485,9.799719,u1wcnbzbqp8h,2006.4,EUR,61,120,4,6.673672076
Hamburg,Barmbek-Nord,53.596249,10.049298,u1x0usvsv8gw,1150,EUR,993,58,3,0.30456586
Hamburg,Barmbek-Nord,53.596249,10.049298,u1x0usvsv8gw,1150,EUR,65,58,3,0.30456586
Hamburg,Schnelsen,53.626678,9.92754,u1x11fmn03q6,950,EUR,51,85,2.5,1.323348272
Hamburg,Marienthal,53.564808,10.077485,u1x0tr4jw7vm,1100,EUR,72,66,2.5,0.3253298
Hamburg,Alsterdorf,53.596255,9.958271,u1x0fsgkud14,850,EUR,39,31,1,3.403347393
Hamburg,Schnelsen,53.661006,9.968728,u1x16ben00w3,458,EUR,54,41,1,4.207718935
Hamburg,Niendorf,53.632053,9.951322,u1x147qm6e73,1050,EUR,51,55,2,0.604145011
Hamburg,Schnelsen,53.631802,9.925356,u1x11g77vs9b,970,EUR,25,40,1,0.756698905
Hamburg,Harburg,53.462578,9.970867,u1x04usd44ck,830,EUR,,66,,1.292448008
Hamburg,Harburg,53.463123,9.977797,u1x05h9t782x,545,EUR,69,49.2,2,0.988613155
Hamburg,Harburg,53.461304,9.984428,u1x05hq6wj3h,1199,EUR,58,78,3,0.59441815
Hamburg,Bramfeld,53.601059,10.065186,u1x0vjc0zcde,1158.55,EUR,2,68.15,2,1.97428013
Hamburg,Bramfeld,53.601231,10.06516,u1x0vjc1z1xm,881.63,EUR,2,46.92,1,1.95813281
Hamburg,Blankenese,53.532751,9.757982,u1wbw13dcknd,995,EUR,57,63,2,4.05509829
Hamburg,Eißendorf,53.456772,9.968543,u1x04gdb7bs3,555,EUR,73,66.22,2.5,0.887108362
Hamburg,Niendorf,53.649922,9.988715,u1x15q9t3ymd,1130,EUR,29,71,2,3.200111464
Hamburg,Harburg,53.454086,9.983558,u1x055jb9gb7,511.75,EUR,123,48.05,2,0.338966513
Hamburg,Bramfeld,53.614033,10.084166,u1x1j2ph6h5h,740.32,EUR,58,52.88,2,0.459718988
Hamburg,Wilstorf,53.44149,9.992992,u1x052sxjxfc,611,EUR,123,47,2,0.705722391
Hamburg,Billstedt,53.487384,10.156346,u1x0r15ds503,389,EUR,61,39,1,7.194326003
Neu Wulmstorf,Neu Wulmstorf,53.467102,9.800548,u1wbpj2s3q4q,766,EUR,23,75.16,2,1.05125421
Hamburg,Rissen,53.579086,9.752244,u1wbvcv2gc81,850,EUR,53,77.84,3,0.681610699
Hamburg,Rissen,53.58234,9.753581,u1wbvfq7fbjh,1110,EUR,10,78.48,2.5,0.321320042
Hamburg,Rissen,53.58234,9.753581,u1wbvfq7fbjh,980,EUR,10,74.81,2,0.321320042
Hamburg,Wellingsbüttel,53.636608,10.079652,u1x1jk5zbumm,1550,EUR,56,112,3,0.979730542
Hamburg,Langenbek,53.429352,9.982245,u1rpgnsbe1j7,700,EUR,119,61,3,0.63796417
Norderstedt,Garstedt,53.683331,9.976563,u1x17hb8nf0x,630,EUR,45,59.95,2,0.637003159
Norderstedt,Garstedt,53.686607,9.981128,u1x17jk51hum,640,EUR,31,66.89,2.5,0.401186883
Norderstedt,Harksheide,53.640068,9.954555,u1x14sbsjcqj,1645,EUR,27,160,5,8.031577205
Pinneberg,Am Drosteipark 11,53.659817,9.797313,u1wcqbqpjfyh,1450,EUR,64,133,5,0.006756559
Hamburg,Sasel,53.656635,10.107894,u1x1npbke18p,1549,EUR,19,116,3.5,0.771644134
Seevetal,Maschen,53.404331,10.04851,u1rpu9vng2b5,869,EUR,50,79,3,1.094829156
Hamburg,Sasel,53.653801,10.140097,u1x1nxru13km,1600,EUR,19,80,2,1.53906741
Glinde,Mühlenstrasse 53,53.549908,10.213202,u1x28kmnbf77,830,EUR,40,69,2,0.036297972
Buxtehude,Buxtehude,53.432884,9.646974,u1qzgx0tng90,450,EUR,30,45.67,1,4.997201933
Buxtehude,Buxtehude,53.495475,9.642267,u1wb76t39p76,290,EUR,60,31,1,4.123289449
Hamburg,Bergedorf,53.51643,10.183079,u1x0rwr5fcw5,2390,EUR,38,210,7,4.039190216
Rosengarten,Nenndorf,53.380333,9.898713,u1rp9m84bxr3,70,EUR,0,107,3,0.452791107
